type_debris,waste_quantity,pickup_name,pickup_address,pickup_city,pickup_state,pickup_zip,pickup_lat,pickup_lng,pickup_geocode_confidence,generator_name,generator_address,generator_city,generator_state,generator_zip,transporter_name,receiving_name,receiving_address,receiving_city,receiving_state,receiving_zip,receiving_lat,receiving_lng,receiving_geocode_confidence
Mix/Other,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,confirmed,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,26 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,confirmed,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,5 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,19 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,18 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,14 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,confirmed,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,Unknown,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,confirmed,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,12 Cubic Yards,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,confirmed,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,20 Tons,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,confirmed,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10022,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,20 Cubic Yards,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,confirmed,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,15 Cubic Yards,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,confirmed,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,20 Tons,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,confirmed,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,confirmed,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10038,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,confirmed,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10038,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Tons,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,confirmed,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10038,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
Mix/Other,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,confirmed,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10013,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798,confirmed
